4,8
1,2
301,628
152,506
543,152
358,17
655,642
392,120
604,668
41,197
152,734
280,637
484,531
757,132
346,780
461,739
140,22
101,496
26,190
503,766
732,268
179,700
658,683
774,574
585,759
91,787
687,539
683,439
314,177
559,244
338,519
617,280
329,49
117,687
711,411
422,353
343,588
469,286
425,723
2,698
200,701
12,174
150,47
473,6
672,690
119,198
52,245
570,130
625,80
333,440
331,516
185,570
31,64
576,104
244,587
514,81
608,103
147,752
287,498
536,312
395,99
549,774
759,290
291,2
591,455
59,118
286,549
270,26
779,384
546,230
699,559
132,287
209,372
575,738
436,35
56,157
765,689
266,109
612,567
393,509
511,145
160,170
459,541
78,498
32,149
661,748
340,68
166,785
717,123
663,435
165,497
470,275
274,109
261,291
638,314
434,284
701,13
356,766
320,319
